taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
2703041,Arundo donax,Dwb,Monsoon-influenced warm-summer humid continental climate,3,27114,1.1064394777605666e-4
7730307,Erythranthe lutea,Cfb,Temperate oceanic climate,9,147,0.061224489795918366
2715505,Cyperus prolifer,Aw,"Tropical savanna, wet",52,268,0.19402985074626866
2651586,Ceratopteris thalictroides,BWh,Hot deserts climate,10,1564,0.00639386189258312
3064056,Euphorbia palustris,NA,NA,58,7263,0.007985680848134379
2716311,Cyperus papyrus,BSh,Hot semi-arid (steppe) climate,106,1264,0.08386075949367089
2651586,Ceratopteris thalictroides,As,Tropical dry savanna climate,6,1564,0.0038363171355498722
2873807,Acorus gramineus,Dfb,Warm-summer humid continental climate,12,495,0.024242424242424242
2691022,Eriocaulon cinereum,Csa,Hot-summer Mediterranean climate,2,625,0.0032
2691022,Eriocaulon cinereum,BWh,Hot deserts climate,25,625,0.04
2687948,Equisetum scirpoides,Dfd,Extremely cold subarctic climate,13,5848,0.002222982216142271
3723590,Gunnera magellanica,As,Tropical dry savanna climate,2,320,0.00625
2926921,Clinopodium brownei,Csb,Warm-summer Mediterranean climate,4,668,0.005988023952095809
3723590,Gunnera magellanica,Csb,Warm-summer Mediterranean climate,20,320,0.0625
3723590,Gunnera magellanica,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,4,320,0.0125
2853698,Crinum natans,Aw,"Tropical savanna, wet",12,72,0.16666666666666666
8243603,Cyperus longus,Dfb,Warm-summer humid continental climate,76,6442,0.011797578391803787
3032611,Darmera peltata,Cfb,Temperate oceanic climate,339,785,0.4318471337579618
2774395,Chlorophytum laxum,Am,Tropical monsoon climate,9,359,0.025069637883008356
5328550,Aponogeton ulvaceus,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,1,22,0.045454545454545456
2691022,Eriocaulon cinereum,BSh,Hot semi-arid (steppe) climate,108,625,0.1728
3086504,Anemopsis californica,Cfa,Humid subtropical climate,8,2808,0.002849002849002849
5328812,Echinodorus grisebachii,Am,Tropical monsoon climate,19,79,0.24050632911392406
3032611,Darmera peltata,Cfc,Subpolar oceanic climate,14,785,0.017834394904458598
5328593,Aponogeton distachyos,Cfc,Subpolar oceanic climate,11,710,0.015492957746478873
3112110,Cotula coronopifolia,BWh,Hot deserts climate,27,11185,0.0024139472507822978
2716311,Cyperus papyrus,BSk,Cold semi-arid (steppe) climate,124,1264,0.0981012658227848
3046246,Cardamine lyrata,Cwa,Monsoon-influenced humid subtropical climate,9,142,0.06338028169014084
2808791,Bletilla striata,ET,Tundra,1,313,0.003194888178913738
2687948,Equisetum scirpoides,BWk,Cold desert climate,2,5848,3.419972640218878e-4
2703041,Arundo donax,ET,Tundra,5,27114,1.8440657962676108e-4
2873807,Acorus gramineus,ET,Tundra,1,495,0.00202020202020202
3046246,Cardamine lyrata,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,1,142,0.007042253521126761
3582614,Cyperus haspan,Dwb,Monsoon-influenced warm-summer humid continental climate,1,4238,2.3596035865974517e-4
5329260,Egeria densa,BWh,Hot deserts climate,6,3053,0.001965280052407468
8269085,Fontinalis antipyretica,Cfc,Subpolar oceanic climate,11,1014,0.010848126232741617
2714156,Cyperus alternifolius,Am,Tropical monsoon climate,14,398,0.035175879396984924
2853698,Crinum natans,Am,Tropical monsoon climate,41,72,0.5694444444444444
2650967,Bolbitis heudelotii,Aw,"Tropical savanna, wet",92,140,0.6571428571428571
3171169,Bacopa monnieri,BSk,Cold semi-arid (steppe) climate,85,3071,0.027678280690328884
5328834,Echinodorus grandiflorus,Cfb,Temperate oceanic climate,17,336,0.050595238095238096
5329260,Egeria densa,Cwa,Monsoon-influenced humid subtropical climate,31,3053,0.010153946937438586
3674859,Alternanthera reineckii,Cfa,Humid subtropical climate,15,20,0.75
2871883,Anubias hastifolia,Af,Tropical rainforest climate,9,40,0.225
2871883,Anubias hastifolia,Am,Tropical monsoon climate,12,40,0.3
2871871,Anubias barteri,Am,Tropical monsoon climate,88,134,0.6567164179104478
2871871,Anubias barteri,Aw,"Tropical savanna, wet",29,134,0.21641791044776118
2703041,Arundo donax,Am,Tropical monsoon climate,42,27114,0.001549015268864793
3171189,Bacopa caroliniana,Am,Tropical monsoon climate,13,249,0.05220883534136546
2717678,Eleocharis vivipara,Cfa,Humid subtropical climate,73,82,0.8902439024390244
2714156,Cyperus alternifolius,BSk,Cold semi-arid (steppe) climate,48,398,0.12060301507537688
2714156,Cyperus alternifolius,Csb,Warm-summer Mediterranean climate,13,398,0.032663316582914576
3594822,Ceratopteris cornuta,Am,Tropical monsoon climate,9,73,0.1232876712328767
3754647,Astilboides tabularis,Dwa,Monsoon-influenced hot-summer humid continental climate,1,35,0.02857142857142857
3171169,Bacopa monnieri,Csa,Hot-summer Mediterranean climate,56,3071,0.01823510257245197
8034409,Canna indica,BSk,Cold semi-arid (steppe) climate,803,12261,0.06549221107576869
3112110,Cotula coronopifolia,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,18,11185,0.0016092981671881985
7730307,Erythranthe lutea,Cfc,Subpolar oceanic climate,2,147,0.013605442176870748
3046246,Cardamine lyrata,Dfb,Warm-summer humid continental climate,7,142,0.04929577464788732
3112110,Cotula coronopifolia,Af,Tropical rainforest climate,4,11185,3.576218149307108e-4
7730307,Erythranthe lutea,ET,Tundra,29,147,0.19727891156462585
5329260,Egeria densa,Am,Tropical monsoon climate,13,3053,0.004258106780216181
2716311,Cyperus papyrus,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,35,1264,0.027689873417721517
2651586,Ceratopteris thalictroides,Dfb,Warm-summer humid continental climate,2,1564,0.0012787723785166241
3730140,Glossostigma elatinoides,BSk,Cold semi-arid (steppe) climate,58,406,0.14285714285714285
8243603,Cyperus longus,BSk,Cold semi-arid (steppe) climate,166,6442,0.025768394908413535
2716311,Cyperus papyrus,Cwa,Monsoon-influenced humid subtropical climate,14,1264,0.011075949367088608
8330991,Ceratopteris cornuta,Af,Tropical rainforest climate,8,73,0.1095890410958904
2717678,Eleocharis vivipara,NA,NA,1,82,0.012195121951219513
2715505,Cyperus prolifer,NA,NA,6,268,0.022388059701492536
2650967,Bolbitis heudelotii,Cwa,Monsoon-influenced humid subtropical climate,4,140,0.02857142857142857
6070720,Erythranthe cardinalis,BSh,Hot semi-arid (steppe) climate,32,2370,0.01350210970464135
3730835,Bacopa australis,NA,NA,2,53,0.03773584905660377
2717945,Eleocharis pusilla,Csb,Warm-summer Mediterranean climate,40,2284,0.017513134851138354
3086504,Anemopsis californica,Cfb,Temperate oceanic climate,10,2808,0.0035612535612535613
2865181,Alisma subcordatum,Dwa,Monsoon-influenced hot-summer humid continental climate,1,673,0.0014858841010401188
3730140,Glossostigma elatinoides,Aw,"Tropical savanna, wet",2,406,0.0049261083743842365
7730307,Erythranthe lutea,NA,NA,7,147,0.047619047619047616
2717945,Eleocharis pusilla,BWh,Hot deserts climate,15,2284,0.006567425569176883
6070720,Erythranthe cardinalis,Cfb,Temperate oceanic climate,3,2370,0.0012658227848101266
2869246,Cryptocoryne crispatula,Aw,"Tropical savanna, wet",11,15,0.7333333333333333
8330991,Ceratopteris cornuta,BWh,Hot deserts climate,10,73,0.136986301369863
2808791,Bletilla striata,Dwa,Monsoon-influenced hot-summer humid continental climate,3,313,0.009584664536741214
6070720,Erythranthe cardinalis,As,Tropical dry savanna climate,1,2370,4.219409282700422e-4
8034409,Canna indica,Dfb,Warm-summer humid continental climate,439,12261,0.035804583639181146
2808802,Bletilla striata,Af,Tropical rainforest climate,1,313,0.003194888178913738
10778277,Cladophora aegagropila,Cfa,Humid subtropical climate,2,9,0.2222222222222222
2774395,Chlorophytum laxum,BSh,Hot semi-arid (steppe) climate,5,359,0.013927576601671309
2865181,Alisma subcordatum,Csa,Hot-summer Mediterranean climate,3,673,0.004457652303120356
2715505,Cyperus prolifer,Csb,Warm-summer Mediterranean climate,12,268,0.04477611940298507
2687948,Equisetum scirpoides,Cfa,Humid subtropical climate,1,5848,1.709986320109439e-4
8243603,Cyperus longus,Am,Tropical monsoon climate,1,6442,1.552312946289972e-4
2873807,Acorus gramineus,Af,Tropical rainforest climate,1,495,0.00202020202020202
2808791,Bletilla striata,Cfb,Temperate oceanic climate,2,313,0.006389776357827476
8330991,Ceratopteris cornuta,BSh,Hot semi-arid (steppe) climate,10,73,0.136986301369863
2865181,Alisma subcordatum,Dfc,Subarctic climate,2,673,0.0029717682020802376
2703041,Arundo donax,Dsb,"Warm, dry-summer continental climate",5,27114,1.8440657962676108e-4
3171169,Bacopa monnieri,Csb,Warm-summer Mediterranean climate,14,3071,0.004558775643112993
5328626,Aponogeton madagascariensis,Cwa,Monsoon-influenced humid subtropical climate,3,34,0.08823529411764706
2714156,Cyperus alternifolius,Csa,Hot-summer Mediterranean climate,26,398,0.06532663316582915
3112110,Cotula coronopifolia,Cfc,Subpolar oceanic climate,1,11185,8.94054537326777e-5
2865181,Alisma subcordatum,BWh,Hot deserts climate,1,673,0.0014858841010401188
2865980,Blyxa japonica,Am,Tropical monsoon climate,3,56,0.05357142857142857
8269085,Fontinalis antipyretica,Csa,Hot-summer Mediterranean climate,4,1014,0.0039447731755424065
2714156,Cyperus alternifolius,BWh,Hot deserts climate,7,398,0.017587939698492462
3112110,Cotula coronopifolia,Aw,"Tropical savanna, wet",1,11185,8.94054537326777e-5
2717945,Eleocharis pusilla,Cfc,Subpolar oceanic climate,7,2284,0.003064798598949212
2717945,Eleocharis pusilla,NA,NA,3,2284,0.0013134851138353765
2691022,Eriocaulon cinereum,Am,Tropical monsoon climate,37,625,0.0592
8243603,Cyperus longus,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,2,6442,3.104625892579944e-4
5328812,Echinodorus grisebachii,Aw,"Tropical savanna, wet",30,79,0.379746835443038
2865980,Blyxa japonica,Dfb,Warm-summer humid continental climate,1,56,0.017857142857142856
5328593,Aponogeton distachyos,BSh,Hot semi-arid (steppe) climate,4,710,0.005633802816901409
3730140,Glossostigma elatinoides,Cfa,Humid subtropical climate,8,406,0.019704433497536946
7866466,Cyperus haspan,BSk,Cold semi-arid (steppe) climate,3,4238,7.078810759792355e-4
8330991,Ceratopteris cornuta,NA,NA,2,73,0.0273972602739726
2714156,Cyperus alternifolius,Dfb,Warm-summer humid continental climate,14,398,0.035175879396984924
8243603,Cyperus longus,Cfc,Subpolar oceanic climate,5,6442,7.76156473144986e-4
5272847,Aegagropila linnaei,Cfc,Subpolar oceanic climate,1,593,0.0016863406408094434
5329260,Egeria densa,BSh,Hot semi-arid (steppe) climate,52,3053,0.017032427120864724
2714156,Cyperus alternifolius,BSh,Hot semi-arid (steppe) climate,10,398,0.02512562814070352
5328774,Echinodorus cordifolius,Csa,Hot-summer Mediterranean climate,2,261,0.007662835249042145
5330776,Colocasia esculenta,Csa,Hot-summer Mediterranean climate,540,5292,0.10204081632653061
5330776,Colocasia esculenta,BSh,Hot semi-arid (steppe) climate,104,5292,0.019652305366591082
2726538,Carex muskingumensis,NA,NA,1,273,0.003663003663003663
5328774,Echinodorus cordifolius,Am,Tropical monsoon climate,4,261,0.01532567049808429
3032611,Darmera peltata,Dfa,Hot-summer humid continental climate,1,785,0.0012738853503184713
2687948,Equisetum scirpoides,Cfc,Subpolar oceanic climate,1,5848,1.709986320109439e-4
5304713,Dracaena sanderiana,BSk,Cold semi-arid (steppe) climate,1,33,0.030303030303030304
5300650,Fritillaria michailovskyi,BSk,Cold semi-arid (steppe) climate,1,4,0.25
2687948,Equisetum scirpoides,Dwb,Monsoon-influenced warm-summer humid continental climate,2,5848,3.419972640218878e-4
2869214,Cryptocoryne wendtii,Af,Tropical rainforest climate,2,4,0.5
5329253,Egeria najas,Aw,"Tropical savanna, wet",48,75,0.64
5329253,Egeria najas,Cfa,Humid subtropical climate,9,75,0.12
2808791,Bletilla striata,Csb,Warm-summer Mediterranean climate,1,313,0.003194888178913738
8243603,Cyperus longus,Af,Tropical rainforest climate,2,6442,3.104625892579944e-4
5329260,Egeria densa,Af,Tropical rainforest climate,24,3053,0.007861120209629872
2714156,Cyperus alternifolius,Cfb,Temperate oceanic climate,20,398,0.05025125628140704
7730307,Erythranthe lutea,Cwa,Monsoon-influenced humid subtropical climate,1,147,0.006802721088435374
5328812,Echinodorus grisebachii,As,Tropical dry savanna climate,3,79,0.0379746835443038
2651586,Ceratopteris thalictroides,Dfa,Hot-summer humid continental climate,1,1564,6.393861892583121e-4
2717678,Eleocharis vivipara,Af,Tropical rainforest climate,2,82,0.024390243902439025
2717945,Eleocharis pusilla,Csa,Hot-summer Mediterranean climate,8,2284,0.0035026269702276708
5362054,Crassula helmsii,Cfc,Subpolar oceanic climate,5,9506,5.259835893120135e-4
