taxonKey,species,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
2227015,Orconectes macrus,14,Cfa,2,2,1
2227086,Faxonius leptogonopodus,14,Cfa,8,8,1
8877623,Cambarus strigosus,14,Cfa,2,2,1
2227088,Faxonius nana,14,Cfa,5,5,1
4648468,Euastacus simplex,15,Cfb,14,16,0.875
5789943,Euastacus pilosus,14,Cfa,9,9,1
4648449,Euastacus rieki,15,Cfb,11,12,0.9166666666666666
4648491,Euastacus hirsutus,14,Cfa,18,18,1
4648450,Euastacus clarkae,14,Cfa,19,19,1
4648456,Euastacus dalagarbe,14,Cfa,5,5,1
4648515,Ombrastacoides huonensis,15,Cfb,4,4,1
4648504,Spinastacoides insignis,15,Cfb,3,3,1
4648540,Engaeus disjuncticus,15,Cfb,1,4,0.25
2227407,Cambarus williami,14,Cfa,4,4,1
6283013,Procambarus pubischelae,14,Cfa,9,9,1
2227028,Faxonius ronaldi,14,Cfa,2,2,1
4648494,Euastacus brachythorax,15,Cfb,6,6,1
4648489,Euastacus gumar,14,Cfa,3,3,1
5789986,Lacunicambarus polychromatus,14,Cfa,3,3,1
5789979,Orconectes barri,14,Cfa,4,4,1
2227344,Cambarus chasmodactylus,14,Cfa,47,47,1
2227014,Faxonius eupunctus,14,Cfa,4,4,1
5789984,Cambarus eeseeohensis,14,Cfa,15,15,1
6283032,Orconectes inermis,14,Cfa,1,1,1
2227244,Procambarus hagenianus,14,Cfa,2,2,1
2227271,Procambarus youngi,14,Cfa,2,3,0.6666666666666666
4648595,Cherax cainii,14,Cfa,2,23,0.08695652173913043
4648604,Cherax tenuimanus,14,Cfa,1,5,0.2
2227009,Orconectes sheltae,14,Cfa,2,2,1
7194598,Procambarus vioscai,14,Cfa,1,1,1
2227185,Procambarus hagenianus,14,Cfa,2,2,1
2227065,Faxonius margorectus,14,Cfa,1,1,1
2227069,Faxonius bisectus,14,Cfa,2,2,1
4648513,Ombrastacoides brevirostris,15,Cfb,2,2,1
4648459,Euastacus jagabar,14,Cfa,3,3,1
2227122,Distocambarus hunteri,14,Cfa,3,3,1
9048940,Cambarus smilax,14,Cfa,3,3,1
4648537,Engaeus lengana,15,Cfb,1,3,0.3333333333333333
4648467,Euastacus mirangudjin,14,Cfa,2,2,1
2227068,Faxonius rafinesquei,14,Cfa,2,2,1
2227385,Cambarus cymatilis,14,Cfa,2,2,1
2227097,Creaserinus gilpini,14,Cfa,2,2,1
4648475,Euastacus guruhgi,14,Cfa,4,4,1
4648519,Ombrastacoides asperrimanus,15,Cfb,1,1,1
4648490,Euastacus girurmulayn,14,Cfa,2,2,1
5789929,Cherax leckii,14,Cfa,2,2,1
4648575,Geocharax falcata,15,Cfb,1,44,0.022727272727272728
4648509,Ombrastacoides decemdentatus,15,Cfb,1,1,1
2227333,Cambarus lenati,14,Cfa,36,36,1
4648599,Cherax glaber,14,Cfa,1,1,1
2227397,Cambarus jezerinaci,14,Cfa,1,1,1
2227399,Cambarus carinirostris,14,Cfa,2,2,1
