acceptedTaxonKey,acceptedScientificName,GRIDCODE,Classification,n_climate,n_totaal,perc_climate
9046052,"Faxonius occidentalis (Johnson, 2010)",14,Cfa,8,11,0.7272727272727273
2227311,"Procambarus liberorum Fitzpatrick, 1978",14,Cfa,48,48,1
2227150,"Procambarus clemmeri Hobbs, 1975",14,Cfa,22,22,1
5789979,"Orconectes barri Buhay & Crandall, 2008",14,Cfa,5,5,1
2227017,"Orconectes australis (Rhoades, 1941)",14,Cfa,49,49,1
2227249,"Procambarus echinatus Hobbs, 1956",14,Cfa,28,28,1
2227197,"Procambarus leonensis Hobbs, 1942",14,Cfa,6,6,1
10355620,"Procambarus parvus Johnson, 2018",14,Cfa,3,3,1
9065334,"Faxonius taylori (Schuster, 2008)",14,Cfa,4,4,1
2227233,"Procambarus pubischelae Hobbs, 1942",14,Cfa,11,11,1
2227325,"Cambarus reburrus Prins, 1968",14,Cfa,73,73,1
2227222,"Procambarus okaloosae Hobbs, 1942",14,Cfa,10,10,1
2227428,"Cambarellus ninae Hobbs, 1950",14,Cfa,16,16,1
2227420,"Hobbseus cristatus (Hobbs, 1955)",14,Cfa,5,5,1
2227435,"Cambarellus texanus Albaugh & Black, 1973",14,Cfa,11,11,1
2227373,"Cambarus catagius Hobbs & Perkins, 1967",14,Cfa,18,18,1
7039992,Procambarus pubischelae pubischelae,14,Cfa,9,9,1
9026501,"Cambarus theepiensis Loughman, Fotz, Garrison & Welsh, 2013",14,Cfa,11,11,1
2227269,"Procambarus mancus Hobbs & Walton, 1957",14,Cfa,4,4,1
7194594,Orconectes inermis inermis,14,Cfa,5,5,1
9483743,"Cambarus appalachiensis Loughman, Welsh & Thoma, 2017",14,Cfa,31,31,1
8920507,"Fallicambarus schusteri Taylor & Robison, 2016",14,Cfa,1,1,1
4648450,"Euastacus clarkae Morgan, 1997",14,Cfa,23,23,1
4648487,"Euastacus claytoni Riek, 1969",15,Cfb,22,25,0.88
8728474,Faxonius meeki meeki,14,Cfa,3,3,1
9118774,"Faxonius carolinensis (Cooper & Cooper, 1995)",14,Cfa,126,126,1
4648526,"Engaeus affinis Smith & Schuster, 1913",15,Cfb,5,12,0.4166666666666667
2227250,"Procambarus shermani Hobbs, 1942",14,Cfa,12,12,1
2227379,"Cambarus nodosus Bouchard & Hobbs, 1976",14,Cfa,19,19,1
2227365,"Cambarus obeyensis Hobbs & Shoup, 1947",14,Cfa,3,3,1
2227167,"Procambarus litosternum Hobbs, 1947",14,Cfa,15,15,1
2227348,"Cambarus harti Hobbs, 1981",14,Cfa,6,6,1
9023654,"Faxonius durelli (Bouchard & Bouchard, 1995)",14,Cfa,10,10,1
6283023,"Procambarus rogersi expletus Hobbs & Hart, 1959",14,Cfa,1,1,1
2227385,"Cambarus cymatilis Hobbs, 1970",14,Cfa,3,3,1
2227399,"Cambarus carinirostris Hay, 1914",14,Cfa,5,5,1
2227403,"Cambarus buntingi Bouchard, 1973",14,Cfa,5,5,1
6283026,"Procambarus hagenianus vesticeps Fitzpatrick, 1978",14,Cfa,5,5,1
2227110,"Fallicambarus jeanae Hobbs, 1973",14,Cfa,9,9,1
8737918,"Procambarus holifieldi Schuster, Taylor & Adams, 2015",14,Cfa,5,5,1
2227162,"Procambarus brazoriensis Albaugh, 1975",14,Cfa,6,6,1
10443162,"Lacunicambarus chimera Glon, Thoma, Daly & Freudenstein, 2019",14,Cfa,9,9,1
2227423,"Faxonella creaseri Walls, 1968",14,Cfa,8,8,1
2227115,"Fallicambarus macneesei (Black, 1967)",14,Cfa,13,13,1
2227404,"Cambarus extraneus Hagen, 1870",14,Cfa,13,13,1
2227103,"Fallicambarus oryktes Penn & Marlow, 1959",14,Cfa,4,4,1
5789976,"Orconectes packardi Rhoades, 1944",14,Cfa,10,10,1
2227395,"Cambarus nerterius Hobbs, 1964",14,Cfa,5,5,1
2227357,"Cambarus causeyi Reimer, 1966",14,Cfa,4,4,1
9866892,"Cambarus franklini Perkins, Williams & Russ, 2019",14,Cfa,28,28,1
9595834,"Cambarus taylori Loughman, Henkanaththegedara, Fetzner & Thoma, 2017",14,Cfa,3,3,1
2227244,"Procambarus hagenianus (Faxon, 1884)",14,Cfa,3,3,1
2227386,"Cambarus parvoculus Hobbs & Shoup, 1947",14,Cfa,13,13,1
4648561,"Engaeus laevis (Clark, 1941)",15,Cfb,8,23,0.34782608695652173
4648530,"Engaeus mallacoota Horwitz, 1990",14,Cfa,6,6,1
4648562,"Engaeus fultoni Smith & Schuster, 1913",15,Cfb,3,3,1
2227349,"Cambarus obstipus Hall, 1959",14,Cfa,28,28,1
4648595,"Cherax cainii Austin & Ryan, 2002",14,Cfa,2,30,0.06666666666666667
4648556,"Engaeus sternalis (Clark, 1936)",14,Cfa,5,9,0.5555555555555556
2227102,"Fallicambarus devastator Hobbs & Whiteman, 1987",14,Cfa,7,7,1
10789908,"Lacunicambarus mobilensis Glon, 2020",14,Cfa,11,12,0.9166666666666666
5789973,"Fallicambarus houstonensis Johnson, 2008",14,Cfa,16,16,1
2227196,"Procambarus tulanei Penn, 1953",14,Cfa,19,19,1
2227157,"Procambarus rogersi (Hobbs, 1938)",14,Cfa,9,9,1
2227344,"Cambarus chasmodactylus James, 1966",14,Cfa,55,55,1
8756322,"Cambarus magerae Thoma & Fetzner, 2015",14,Cfa,2,2,1
2227418,"Hobbseus yalobushensis Fitzpatrick & Busack, 1989",14,Cfa,2,2,1
2227283,"Procambarus reimeri Hobbs, 1979",14,Cfa,3,3,1
9795548,"Cambarus polypilosus Loughman & Williams, 2018",14,Cfa,4,4,1
2227023,Orconectes palmeri (Faxon),14,Cfa,31,31,1
2227124,"Distocambarus youngineri Hobbs & Carlson, 1985",14,Cfa,7,7,1
2227401,"Cambarus parrishi Hobbs, 1981",14,Cfa,18,18,1
2227370,"Cambarus pristinus Hobbs, 1965",14,Cfa,3,3,1
8952175,"Faxonius williamsi (Fitzpatrick, 1966)",14,Cfa,11,11,1
2227153,"Procambarus medialis Hobbs, 1975",14,Cfa,16,16,1
2227298,"Procambarus verrucosus Hobbs, 1952",14,Cfa,22,22,1
9141927,"Faxonius shoupi (Hobbs, 1948)",14,Cfa,4,4,1
4648507,"Tenuibranchiurus glypticus Riek, 1951",14,Cfa,3,17,0.17647058823529413
2227292,"Procambarus kensleyi Hobbs, 1990",14,Cfa,16,16,1
4648504,"Spinastacoides insignis (Clark, 1939)",15,Cfb,8,8,1
2227178,"Procambarus lewisi Hobbs & Walton, 1959",14,Cfa,11,11,1
2227199,"Procambarus hinei (Ortmann, 1905)",14,Cfa,24,24,1
9178845,"Faxonius hylas (Faxon, 1890)",14,Cfa,73,73,1
2227411,"Cambarus girardianus Faxon, 1884",14,Cfa,46,46,1
2227100,"Fallicambarus harpi Hobbs & Robison, 1985",14,Cfa,1,1,1
8936102,"Faxonius meeki brevis (Williams, 1952)",14,Cfa,5,5,1
2227009,"Orconectes sheltae Cooper & Cooper, 1997",14,Cfa,5,5,1
